County Opioid Indicators Data - HepVu,,,,,,,,,,,
"For additional information regarding this dataset, please see the Data Methods by clicking this row or by visiting hepvu.org/data-methods.",,,,,,,,,,,
,,,,,,,,,,,
GEO ID,State Abbreviation,County Name,"Opioid Prescription
Rate 2022","Narcotic Overdose
Mortality Rate 2014","Narcotic Overdose
Mortality Rate 2015","Narcotic Overdose
Mortality Rate 2016","Narcotic Overdose
Mortality Rate 2017","Narcotic Overdose
Mortality Rate 2018","Narcotic Overdose
Mortality Rate 2019","Narcotic Overdose
Mortality Rate 2020","Narcotic Overdose
Mortality Rate 2021"
1001,AL,Autauga County,78.1,7.6,8.4,10.1,11.1,10.6,11.1,14.3,16.5
1003,AL,Baldwin County,61.7,14.9,16.5,19.9,21.8,20.8,21.7,28.1,32.5
1005,AL,Barbour County,9.4,4,4.5,5.4,5.9,5.7,5.9,7.6,8.8
1007,AL,Bibb County,33.7,15.3,17,20.5,22.5,21.5,22.4,29,33.5
1009,AL,Blount County,19,16.5,18.2,22,24.1,23,24,31.1,35.9
1011,AL,Bullock County,18.9,5.6,6.2,7.5,8.2,7.8,8.2,10.6,12.2
1013,AL,Butler County,29,7.6,8.4,10.1,11.1,10.6,11,14.3,16.5
1015,AL,Calhoun County,83.2,12.9,14.3,17.2,18.9,18.1,18.9,24.4,28.2
1017,AL,Chambers County,62,9.5,10.5,12.6,13.9,13.2,13.8,17.9,20.7
1019,AL,Cherokee County,36.4,14,15.5,18.7,20.6,19.6,20.5,26.5,30.6
1021,AL,Chilton County,32.7,14.5,16,19.3,21.2,20.3,21.1,27.4,31.6
1023,AL,Choctaw County,28.2,5.8,6.4,7.7,8.5,8.1,8.5,11,12.7
1025,AL,Clarke County,56.7,6.2,6.9,8.3,9.1,8.7,9.1,11.8,13.6
1027,AL,Clay County,68.1,8.1,9,10.9,11.9,11.4,11.9,15.4,17.8
1029,AL,Cleburne County,4.4,10.5,11.7,14.1,15.4,14.7,15.4,19.9,23
1031,AL,Coffee County,103.5,6.7,7.5,9,9.9,9.4,9.8,12.7,14.7
1033,AL,Colbert County,135.6,7.4,8.2,9.9,10.9,10.4,10.8,14,16.2
1035,AL,Conecuh County,127.5,11.9,13.2,15.9,17.5,16.7,17.4,22.6,26
1037,AL,Coosa County,-9,9.4,10.4,12.5,13.8,13.1,13.7,17.8,20.5
1039,AL,Covington County,63.3,7.8,8.6,10.4,11.4,10.8,11.3,14.7,16.9
1041,AL,Crenshaw County,30.8,6.4,7.1,8.6,9.4,9,9.4,12.1,14
1043,AL,Cullman County,69.1,14.7,16.2,19.6,21.5,20.5,21.4,27.8,32
1045,AL,Dale County,32.3,8.3,9.1,11,12.1,11.6,12.1,15.6,18
1047,AL,Dallas County,54.1,5.7,6.3,7.6,8.3,8,8.3,10.8,12.4
1049,AL,DeKalb County,60.8,16.6,18.4,22.2,24.4,23.3,24.3,31.4,36.3
1051,AL,Elmore County,19.2,6.6,7.3,8.8,9.6,9.2,9.6,12.4,14.3
1053,AL,Escambia County,66.8,24.5,27.1,32.7,35.8,34.2,35.7,46.3,53.4
1055,AL,Etowah County,77.9,15.5,17.1,20.7,22.7,21.6,22.6,29.3,33.8
1057,AL,Fayette County,32.7,15.6,17.3,20.8,22.8,21.8,22.8,29.5,34
1059,AL,Franklin County,69,14.4,15.9,19.2,21,20.1,21,27.2,31.4
1061,AL,Geneva County,18.7,9.4,10.4,12.5,13.7,13.1,13.7,17.7,20.5
